id,name,email,specificRole,salary,department,startDate,endDate,active,qualifications,reportsTo
STAFF_0001,Hoang Costa,staff1@club.com,ASSISTANT_COACH,15277.64,MEDICAL,2020-01-01,,true,UEFA B,
STAFF_0002,Le Williams 8,staff2@club.com,GOALKEEPER_COACH,10935.25,MARKETING,2020-01-01,,true,BSc Sports Science,
STAFF_0003,Nguyen Van Duc,staff3@club.com,FITNESS_COACH,17215.73,OPERATIONS,2020-01-01,,true,MBBS,
STAFF_0004,Tran Kim Brown 11,staff4@club.com,PHYSIOTHERAPIST,15598.28,ADMINISTRATION,2020-01-01,,true,MBA,
STAFF_0005,Thomas Oliveira 26,staff5@club.com,SPORTS_SCIENTIST,30251.12,COACHING,2020-01-01,,true,FA Level 2,
STAFF_0006,Dang Van Minh 10,staff6@club.com,DOCTOR,18054.63,MEDICAL,2020-01-01,,true,UEFA A,
STAFF_0007,Tran Thomas Van Hieu,staff7@club.com,TECHNICAL_DIRECTOR,42444.38,MARKETING,2020-01-01,,true,UEFA B,
STAFF_0008,Tran Luong Van Hieu 39,staff8@club.com,DIRECTOR_OF_FOOTBALL,35631.05,OPERATIONS,2020-01-01,,true,BSc Sports Science,
STAFF_0009,Thomas Bui Smith 83,staff9@club.com,MEDIA_OFFICER,22967.10,ADMINISTRATION,2020-01-01,,true,MBBS,
STAFF_0010,Kim Oliveira,staff10@club.com,SECURITY_CHIEF,21780.44,COACHING,2020-01-01,,true,MBA,
STAFF_0011,Marco Oliveira,staff11@club.com,GROUNDSMAN,48797.39,MEDICAL,2020-01-01,,true,FA Level 2,
STAFF_0012,Kenji Luis Garcia 8,staff12@club.com,KIT_MANAGER,23466.32,MARKETING,2020-01-01,,true,UEFA A,
STAFF_0013,Lee Van Khanh 77,staff13@club.com,CLEANING_STAFF,38683.17,OPERATIONS,2020-01-01,,true,UEFA B,
STAFF_0014,James Kenji Park 2,staff14@club.com,CATERING_STAFF,43189.36,ADMINISTRATION,2020-01-01,,true,BSc Sports Science,
STAFF_0015,Lee Jones 93,staff15@club.com,ADMIN_MANAGER,14643.82,COACHING,2020-01-01,,true,MBBS,
STAFF_0016,Michael Martinez 14,staff16@club.com,ACCOUNTANT,9012.16,MEDICAL,2020-01-01,,true,MBA,
STAFF_0017,Park Le Santos,staff17@club.com,HR_MANAGER,47083.56,MARKETING,2020-01-01,,true,FA Level 2,
STAFF_0018,Pedro Nguyen Park,staff18@club.com,MARKETING_MANAGER,47889.11,OPERATIONS,2020-01-01,,true,UEFA A,
STAFF_0019,Pedro Park Van Hieu,staff19@club.com,IT_ADMINISTRATOR,13837.97,ADMINISTRATION,2020-01-01,,true,UEFA B,
STAFF_0020,Thomas Pedro Jones,staff20@club.com,HEAD_COACH,35731.21,COACHING,2020-01-01,,true,BSc Sports Science,
STAFF_0021,Carlos Kim Park,staff21@club.com,ASSISTANT_COACH,20768.90,MEDICAL,2020-01-01,,true,MBBS,
STAFF_0022,Mohammed Nguyen Van Sang,staff22@club.com,GOALKEEPER_COACH,27448.72,MARKETING,2020-01-01,,true,MBA,
STAFF_0023,Antonio Brown 80,staff23@club.com,FITNESS_COACH,24588.36,OPERATIONS,2020-01-01,,true,FA Level 2,
STAFF_0024,Park Rodriguez 74,staff24@club.com,PHYSIOTHERAPIST,23459.44,ADMINISTRATION,2020-01-01,,true,UEFA A,
STAFF_0025,Kim Robert Smith,staff25@club.com,SPORTS_SCIENTIST,28646.23,COACHING,2020-01-01,,true,UEFA B,
STAFF_0026,Hoang Luong Van Khanh,staff26@club.com,DOCTOR,48333.57,MEDICAL,2020-01-01,,true,BSc Sports Science,
STAFF_0027,Mohammed Carlos Johnson,staff27@club.com,TECHNICAL_DIRECTOR,33018.37,MARKETING,2020-01-01,,true,MBBS,
STAFF_0028,William Le Van Khanh,staff28@club.com,DIRECTOR_OF_FOOTBALL,6628.71,OPERATIONS,2020-01-01,,true,MBA,
STAFF_0029,William Kim,staff29@club.com,MEDIA_OFFICER,8527.47,ADMINISTRATION,2020-01-01,,true,FA Level 2,
STAFF_0030,Nguyen Pham Costa,staff30@club.com,SECURITY_CHIEF,12635.92,COACHING,2020-01-01,,true,UEFA A,
STAFF_0031,Kenji Williams,staff31@club.com,GROUNDSMAN,11154.89,MEDICAL,2020-01-01,,true,UEFA B,
STAFF_0032,Hoang Williams 81,staff32@club.com,KIT_MANAGER,13954.87,MARKETING,2020-01-01,,true,BSc Sports Science,
STAFF_0033,Yuki Oliveira 97,staff33@club.com,CLEANING_STAFF,29761.20,OPERATIONS,2020-01-01,,true,MBBS,
STAFF_0034,Thomas Santos,staff34@club.com,CATERING_STAFF,18510.32,ADMINISTRATION,2020-01-01,,true,MBA,
STAFF_0035,Antonio Robert Rodriguez,staff35@club.com,ADMIN_MANAGER,47802.39,COACHING,2020-01-01,,true,FA Level 2,
STAFF_0036,Bui Jones,staff36@club.com,ACCOUNTANT,10553.77,MEDICAL,2020-01-01,,true,UEFA A,
STAFF_0037,Ahmed Choi,staff37@club.com,HR_MANAGER,29165.06,MARKETING,2020-01-01,,true,UEFA B,
STAFF_0038,Do Jones,staff38@club.com,MARKETING_MANAGER,27984.00,OPERATIONS,2020-01-01,,true,BSc Sports Science,
STAFF_0039,Park Park 16,staff39@club.com,IT_ADMINISTRATOR,9338.96,ADMINISTRATION,2020-01-01,,true,MBBS,
STAFF_0040,Kim James Van Hieu 14,staff40@club.com,HEAD_COACH,36008.91,COACHING,2020-01-01,,true,MBA,
STAFF_0041,Antonio James Takahashi,staff41@club.com,ASSISTANT_COACH,36040.40,MEDICAL,2020-01-01,,true,FA Level 2,
